FIRST_DNAM,FIRST_CHIE,mean_rain,Year,Month
TONKOLILI,KHOLIFA MABANG,1.7162803,2015,2
TONKOLILI,KHOLIFA MAMUNTHA/MAYOSSO,1.9278305,2015,2
TONKOLILI,KHOLIFA ROWALA,3.1985548,2015,2
TONKOLILI,KUNIKE BARINA,6.1606183,2015,2
TONKOLILI,KUNIKE FOLAWUSU,3.675317,2015,2
TONKOLILI,KUNIKE SANDA,6.015428,2015,2
TONKOLILI,MALAL,1.2874962,2015,2
TONKOLILI,MAYEPPOH,4.1934752,2015,2
TONKOLILI,POLI,1.456147,2015,2
TONKOLILI,SAMBAYA,7.968839,2015,2
TONKOLILI,SIMIRIA,5.5349417,2015,2
TONKOLILI,TANE,2.444653,2015,2
TONKOLILI,YELE,2.7015784,2015,2
TONKOLILI,YONI MABANTA,2.7898917,2015,2
TONKOLILI,YONI MAMAILA,2.1421816,2015,2
KAMBIA,BRAMAIA,0.8902599,2015,2
KAMBIA,DIXON,1.1103275,2015,2
KAMBIA,GBINLE,0.33851498,2015,2
KAMBIA,KHONIMAKA,0.12604263,2015,2
KAMBIA,MAGBEMA,0.86272705,2015,2
KAMBIA,MAMBOLO,1.8413386,2015,2
KAMBIA,MASUNGBALA,1.1392006,2015,2
KAMBIA,MUNU THALLAH,0.98815364,2015,2
KAMBIA,SAMU,0.8223105,2015,2
KAMBIA,TONKO LIMBA,0.81284416,2015,2
KARENE,BUYA,3.0195773,2015,2
KARENE,DIBIA,1.5351573,2015,2
KARENE,GBANTI_KARENE,0.34884682,2015,2
KARENE,LIBEISAYGAHUN/GBOMBAHUN,0.7830436,2015,2
KARENE,MAFONDA MAKEREMBAY,1.5865633,2015,2
KARENE,ROMENDE,1.0252346,2015,2
KARENE,SAFROKO,1.4172949,2015,2
KARENE,SANDA LOKO,0.88801986,2015,2
KARENE,SANDA MAGBOLONTOR,1.1217204,2015,2
KARENE,SANDA TENDARAN,0.60903585,2015,2
KARENE,SELLA LIMBA,0.49739656,2015,2
KARENE,TAMBAKHA SIMIBUNGIE,0.23097125,2015,2
KARENE,TAMBAKHA YOBANGIE,1.5758787,2015,2
